key,category,description,status,detail
object_frameless_title,frameless,frameless dialogs expose branded title object,pass,BrandDialogTitle
object_modern_dialog_hook,modern,legacy modern dialog helper delegates to brand layer,pass,apply_branded_dialog(dialog
object_column_customizer_hook,customizer,column customizer participates in dialog identity,pass,brandDialog
object_toast_branding,toast,toast notification exposes semantic type to QSS,pass,toastType
runtime_dialog_branding_apply_branded_dialog,runtime,alrajhi_client/ui/dialog_branding.py uses apply_branded_dialog,pass,apply_branded_dialog
runtime_dialog_branding_normalize_dialog_buttons,runtime,alrajhi_client/ui/dialog_branding.py uses normalize_dialog_buttons,pass,normalize_dialog_buttons
runtime_dialog_branding_dialogActionRole,runtime,alrajhi_client/ui/dialog_branding.py uses dialogActionRole,pass,dialogActionRole
runtime_dialog_branding_brand_message_box,runtime,alrajhi_client/ui/dialog_branding.py uses brand_message_box,pass,brand_message_box
runtime_dialog_branding_branded_question,runtime,alrajhi_client/ui/dialog_branding.py uses branded_question,pass,branded_question
runtime_frameless_dialog_BrandDialogFrame,runtime,alrajhi_client/views/frameless_dialog.py uses BrandDialogFrame,pass,BrandDialogFrame
runtime_frameless_dialog_BrandDialogHeader,runtime,alrajhi_client/views/frameless_dialog.py uses BrandDialogHeader,pass,BrandDialogHeader
runtime_frameless_dialog_BrandDialogTitle,runtime,alrajhi_client/views/frameless_dialog.py uses BrandDialogTitle,pass,BrandDialogTitle
runtime_frameless_dialog_apply_branded_dialog,runtime,alrajhi_client/views/frameless_dialog.py uses apply_branded_dialog,pass,apply_branded_dialog
runtime_frameless_dialog_dialogActionRole,runtime,alrajhi_client/views/frameless_dialog.py uses dialogActionRole,pass,dialogActionRole
runtime_centered_dialog_branded_question,runtime,alrajhi_client/views/centered_dialog.py uses branded_question,pass,branded_question
runtime_centered_dialog_تغييرات غير محفوظة,runtime,alrajhi_client/views/centered_dialog.py uses تغييرات غير محفوظة,pass,تغييرات غير محفوظة
runtime_modern_ui_BrandDialogHeaderCard,runtime,alrajhi_client/views/widgets/modern_ui.py uses BrandDialogHeaderCard,pass,BrandDialogHeaderCard
runtime_modern_ui_apply_branded_dialog(dialog,runtime,alrajhi_client/views/widgets/modern_ui.py uses apply_branded_dialog(dialog,pass,apply_branded_dialog(dialog
runtime_modern_ui_normalize_dialog_buttons(dia,runtime,alrajhi_client/views/widgets/modern_ui.py uses normalize_dialog_buttons(dialog),pass,normalize_dialog_buttons(dialog)
runtime_toast_notification_toastType,runtime,alrajhi_client/views/widgets/toast_notification.py uses toastType,pass,toastType
runtime_toast_notification_toast_success_bg,runtime,alrajhi_client/views/widgets/toast_notification.py uses toast_success_bg,pass,toast_success_bg
runtime_toast_notification_toast_min_width,runtime,alrajhi_client/views/widgets/toast_notification.py uses toast_min_width,pass,toast_min_width
runtime_column_contract_customizer_brandDialog,runtime,alrajhi_client/views/dialogs/column_contract_customizer.py uses brandDialog,pass,brandDialog
runtime_column_contract_customizer_dialogKind,runtime,alrajhi_client/views/dialogs/column_contract_customizer.py uses dialogKind,pass,dialogKind
runtime_column_contract_customizer_column_customizer,runtime,alrajhi_client/views/dialogs/column_contract_customizer.py uses column_customizer,pass,column_customizer
runtime_column_contract_customizer_apply_branded_dialog,runtime,alrajhi_client/views/dialogs/column_contract_customizer.py uses apply_branded_dialog,pass,apply_branded_dialog
