scenario_key,module,title_key,step_index,step_key,surface,action,document_type,list_key,report_key,operational_shell,operation_key,api_resource,network_mode,permission_key,audit_event_key,offline_surface_key,settings_scope,i18n_scope,currency_policy,branch_policy,expects,scenario_currency_sensitive,scenario_branch_sensitive,scenario_print_sensitive,scenario_offline_sensitive,notes
pos_fast_sale_receipt,pos,scenario_pos_fast_sale_receipt,1,pos.checkout,operational,checkout,,,,pos,checkout,/api/invoices,remote_available,pos.use,operational.pos.checkout,operational.pos.checkout,pos,pos.shell,display_currency,required,"api,rbac,branch,currency,settings,i18n,audit,offline",True,True,True,True,"Protects the POS thermal receipt, logo and currency path fixed in Phase 268."
pos_fast_sale_receipt,pos,scenario_pos_fast_sale_receipt,2,pos.print_receipt,operational,print_receipt,,,,pos,print_receipt,/api/invoices,remote_available,pos.receipt.print,operational.pos.print_receipt,operational.pos.print_receipt,pos,pos.shell,display_currency,required,"print,currency,settings,i18n,rbac,audit",True,True,True,True,"Protects the POS thermal receipt, logo and currency path fixed in Phase 268."
pos_fast_sale_receipt,pos,scenario_pos_fast_sale_receipt,3,pos_shifts.view,report,view,,,pos_shifts,,,/api/reports/pos-shifts,mixed,reports.view,report.pos_shifts.view,report.pos_shifts,reports,reports.shell,display_currency,optional,"api,rbac,branch,currency,audit",True,True,True,True,"Protects the POS thermal receipt, logo and currency path fixed in Phase 268."
restaurant_table_order_checkout,restaurant,scenario_restaurant_table_order_checkout,1,restaurant.open_session,operational,open_session,,,,restaurant,open_session,/api/restaurant,remote_available,restaurant.session.open,operational.restaurant.open_session,operational.restaurant.open_session,restaurant,restaurant.shell,display_currency,required,"api,rbac,branch,settings,i18n,audit",True,True,True,False,
restaurant_table_order_checkout,restaurant,scenario_restaurant_table_order_checkout,2,restaurant.send_kitchen,operational,send_kitchen,,,,restaurant,send_kitchen,/api/restaurant,remote_available,restaurant.kitchen.send,operational.restaurant.send_kitchen,operational.restaurant.send_kitchen,restaurant,restaurant.shell,display_currency,required,"api,rbac,branch,settings,i18n,audit",True,True,True,False,
restaurant_table_order_checkout,restaurant,scenario_restaurant_table_order_checkout,3,restaurant.print_kitchen_ticket,operational,print_kitchen_ticket,,,,restaurant,print_kitchen_ticket,/api/restaurant,remote_available,restaurant.kitchen_ticket.print,operational.restaurant.print_kitchen_ticket,operational.restaurant.print_kitchen_ticket,restaurant,restaurant.shell,display_currency,required,"print,settings,i18n,rbac,audit",True,True,True,False,
restaurant_table_order_checkout,restaurant,scenario_restaurant_table_order_checkout,4,restaurant.checkout,operational,checkout,,,,restaurant,checkout,/api/restaurant,remote_available,restaurant.checkout,operational.restaurant.checkout,operational.restaurant.checkout,restaurant,restaurant.shell,display_currency,required,"api,rbac,branch,currency,settings,audit",True,True,True,False,
restaurant_table_order_checkout,restaurant,scenario_restaurant_table_order_checkout,5,restaurant.print_receipt,operational,print_receipt,,,,restaurant,print_receipt,/api/restaurant,remote_available,restaurant.receipt.print,operational.restaurant.print_receipt,operational.restaurant.print_receipt,restaurant,restaurant.shell,display_currency,required,"print,currency,settings,i18n,rbac,audit",True,True,True,False,
bom_cost_print,manufacturing,scenario_bom_cost_print,1,bom.save,document,save,bom,,,,,/api/manufacturing/boms,remote_available,manufacturing.bom.update,document.bom.save,document.bom,manufacturing.bom,manufacturing.bom,money_display_policy,optional,"api,rbac,currency,settings,i18n,audit",True,False,True,False,Protects the manufacturing cost/0E+1 print path fixed in Phase 269.
bom_cost_print,manufacturing,scenario_bom_cost_print,2,bom.print,document,print,bom,,,,,/api/manufacturing/boms,remote_available,manufacturing.bom.print,document.bom.print,document.bom,manufacturing.bom,manufacturing.bom,money_display_policy,optional,"print,currency,settings,i18n,rbac,audit",True,False,True,False,Protects the manufacturing cost/0E+1 print path fixed in Phase 269.
bom_cost_print,manufacturing,scenario_bom_cost_print,3,product_cost.view,report,view,,,product_cost,,,/api/reports/product-cost,mixed,reports.view,report.product_cost.view,report.product_cost,reports,reports.shell,display_currency,optional,"api,rbac,branch,currency,audit",True,False,True,False,Protects the manufacturing cost/0E+1 print path fixed in Phase 269.
production_order_lifecycle,manufacturing,scenario_production_order_lifecycle,1,production_order.save,document,save,production_order,,,,,/api/manufacturing/production-orders,remote_available,manufacturing.production_orders.update,document.production_order.save,document.production_order,manufacturing.production_orders,manufacturing.production_order,money_display_policy,optional,"api,rbac,currency,settings,i18n,audit",True,False,True,False,
production_order_lifecycle,manufacturing,scenario_production_order_lifecycle,2,production_order.print,document,print,production_order,,,,,/api/manufacturing/production-orders,remote_available,manufacturing.production_orders.print,document.production_order.print,document.production_order,manufacturing.production_orders,manufacturing.production_order,money_display_policy,optional,"print,currency,settings,i18n,rbac,audit",True,False,True,False,
production_order_lifecycle,manufacturing,scenario_production_order_lifecycle,3,manufacturing_orders.view,report,view,,,manufacturing_orders,,,/api/reports/manufacturing/orders,mixed,reports.view,report.manufacturing_orders.view,report.manufacturing_orders,reports,reports.shell,display_currency,optional,"api,rbac,currency,audit",True,False,True,False,
inventory_transfer_print,inventory,scenario_inventory_transfer_print,1,warehouse_transfers.open,list,open,,warehouse_transfers,,,,/api/warehouse-transfers,remote_available,warehouse_transfers.view,list.warehouse_transfers.open,,inventory.transfers.list,inventory.transfer,none,user_branch_access,"rbac,branch,audit,i18n",False,True,True,False,
inventory_transfer_print,inventory,scenario_inventory_transfer_print,2,warehouse_transfer.save,document,save,warehouse_transfer,,,,,/api/warehouse-transfers,remote_available,warehouse_transfers.update,document.warehouse_transfer.save,document.warehouse_transfer,inventory.transfers,inventory.transfer,none,required,"api,rbac,branch,settings,i18n,audit",False,True,True,False,
inventory_transfer_print,inventory,scenario_inventory_transfer_print,3,warehouse_transfer.print,document,print,warehouse_transfer,,,,,/api/warehouse-transfers,remote_available,warehouse_transfers.print,document.warehouse_transfer.print,document.warehouse_transfer,inventory.transfers,inventory.transfer,none,required,"print,settings,i18n,rbac,audit",False,True,True,False,
inventory_transfer_print,inventory,scenario_inventory_transfer_print,4,warehouse_movements.view,report,view,,,warehouse_movements,,,/api/reports/warehouse/movements,mixed,reports.view,report.warehouse_movements.view,report.warehouse_movements,reports,reports.shell,display_currency,optional,"api,rbac,branch,audit",False,True,True,False,
voucher_cash_bank_flow,finance,scenario_voucher_cash_bank_flow,1,vouchers.open,list,open,,vouchers,,,,/api/vouchers,remote_available,vouchers.view,list.vouchers.open,,finance.vouchers.list,finance.voucher,money_display_policy,optional,"rbac,branch,audit,i18n",True,True,True,True,Protects the Voucher Document Shell layout fixed in Phase 267.
voucher_cash_bank_flow,finance,scenario_voucher_cash_bank_flow,2,voucher.save,document,save,voucher,,,,,/api/vouchers,remote_available,vouchers.update,document.voucher.save,document.voucher,finance.vouchers,finance.voucher,money_display_policy,optional,"api,rbac,currency,settings,i18n,audit,offline",True,True,True,True,Protects the Voucher Document Shell layout fixed in Phase 267.
voucher_cash_bank_flow,finance,scenario_voucher_cash_bank_flow,3,voucher.print,document,print,voucher,,,,,/api/vouchers,remote_available,vouchers.print,document.voucher.print,document.voucher,finance.vouchers,finance.voucher,money_display_policy,optional,"print,currency,settings,i18n,rbac,audit",True,True,True,True,Protects the Voucher Document Shell layout fixed in Phase 267.
voucher_cash_bank_flow,finance,scenario_voucher_cash_bank_flow,4,cash_movements.view,report,view,,,cash_movements,,,/api/reports/cash-bank/movements,mixed,reports.view,report.cash_movements.view,report.cash_movements,reports,reports.shell,display_currency,optional,"api,rbac,branch,currency,audit",True,True,True,True,Protects the Voucher Document Shell layout fixed in Phase 267.
material_barcode_lookup_label,materials,scenario_material_barcode_lookup_label,1,materials.open,list,open,,materials,,,,/api/items,remote_available,items.view,list.materials.open,,materials.list,materials.document,display_currency,optional,"rbac,audit,i18n",True,False,True,True,
material_barcode_lookup_label,materials,scenario_material_barcode_lookup_label,2,material.save,document,save,material,,,,,/api/items,remote_available,items.update,document.material.save,document.material,materials,materials.document,display_currency,optional,"api,rbac,currency,settings,i18n,audit,offline",True,False,True,True,
material_barcode_lookup_label,materials,scenario_material_barcode_lookup_label,3,material.print,document,print,material,,,,,/api/items,remote_available,items.print,document.material.print,document.material,materials,materials.document,display_currency,optional,"print,currency,settings,i18n,rbac,audit",True,False,True,True,
report_income_statement_print_export,reports,scenario_report_income_statement_print_export,1,income_statement.view,report,view,,,income_statement,,,/api/reports/income_statement,remote_available,reports.view,report.income_statement.view,report.income_statement,reports,reports.shell,display_currency,optional,"api,rbac,currency,settings,i18n,audit",True,False,True,False,
report_income_statement_print_export,reports,scenario_report_income_statement_print_export,2,income_statement.print,report,print,,,income_statement,,,/api/reports/income_statement,remote_available,reports.print,report.income_statement.print,report.income_statement,reports,reports.shell,display_currency,optional,"print,currency,settings,i18n,rbac,audit",True,False,True,False,
report_income_statement_print_export,reports,scenario_report_income_statement_print_export,3,income_statement.export,report,export,,,income_statement,,,/api/reports/income_statement,remote_available,reports.export,report.income_statement.export,report.income_statement,reports,reports.shell,display_currency,optional,"export,currency,settings,i18n,rbac,audit",True,False,True,False,
