key,category,description,status,detail
runtime_unified_action_bar_BRANDED_ACTION_BAR_PHASE,runtime,alrajhi_client/shell/unified_action_bar.py uses BRANDED_ACTION_BAR_PHASE = 354,pass,BRANDED_ACTION_BAR_PHASE = 354
runtime_unified_action_bar_shellChromeRole,runtime,alrajhi_client/shell/unified_action_bar.py uses shellChromeRole,pass,shellChromeRole
runtime_unified_action_bar_ActionBarButton_save,runtime,alrajhi_client/shell/unified_action_bar.py uses ActionBarButton_save,pass,ActionBarButton_save
runtime_unified_action_bar_ActionBarButton_print,runtime,alrajhi_client/shell/unified_action_bar.py uses ActionBarButton_print,pass,ActionBarButton_print
runtime_unified_action_bar_Phase354: branded icon m,runtime,alrajhi_client/shell/unified_action_bar.py uses Phase354: branded icon menu and action bar runtime,pass,Phase354: branded icon menu and action bar runtime
runtime_main_window_navigation_bar_styleshee,runtime,alrajhi_client/views/main_window.py uses navigation_bar_stylesheet,pass,navigation_bar_stylesheet
runtime_main_window_shellChromeRole,runtime,alrajhi_client/views/main_window.py uses shellChromeRole,pass,shellChromeRole
runtime_main_window_MainNavToolButton,runtime,alrajhi_client/views/main_window.py uses MainNavToolButton,pass,MainNavToolButton
runtime_main_window_menuLabel,runtime,alrajhi_client/views/main_window.py uses menuLabel,pass,menuLabel
runtime_main_window_Phase354: branded icon m,runtime,alrajhi_client/views/main_window.py uses Phase354: branded icon menu and action bar runtime,pass,Phase354: branded icon menu and action bar runtime
