surface_key,surface_family,document_type,api_resource,network_mode,offline_policy,queueable,allowed_methods,queueable_prefixes,conflict_policy,replay_priority,idempotency_key,branch_required,audit_required,settings_scope,permission_keys,source_contract,notes
document.cashbox,document,cashbox,/api/cashboxes,remote_available,block_when_offline,False,,,none,50,,False,True,finance.cashboxes,"cashboxes.view,cashboxes.create,cashboxes.update,cashboxes.delete",document_shell,"Not queued by default; either local-only, print/export local, or requires online server-side consistency."
document.bank_account,document,bank_account,/api/bank_accounts,remote_available,block_when_offline,False,,,none,50,,False,True,finance.bank_accounts,"bank_accounts.view,bank_accounts.create,bank_accounts.update,bank_accounts.delete",document_shell,"Not queued by default; either local-only, print/export local, or requires online server-side consistency."
document.warehouse,document,warehouse,/api/warehouses,remote_available,print_export_local,False,,,none,50,,False,True,inventory.warehouses,"warehouses.view,warehouses.create,warehouses.update,warehouses.delete,warehouses.print,warehouses.export",document_shell,"Not queued by default; either local-only, print/export local, or requires online server-side consistency."
document.warehouse_transfer,document,warehouse_transfer,/api/warehouse-transfers,remote_available,print_export_local,False,,,none,50,,True,True,inventory.transfers,"warehouse_transfers.view,warehouse_transfers.create,warehouse_transfers.update,warehouse_transfers.print,warehouse_transfers.export,warehouse_transfers.cancel",document_shell,"Not queued by default; either local-only, print/export local, or requires online server-side consistency."
document.branch,document,branch,/api/branches,remote_available,block_when_offline,False,,,none,50,,False,True,branches,"branches.view,branches.create,branches.update,branches.delete",document_shell,"Not queued by default; either local-only, print/export local, or requires online server-side consistency."
document.bom,document,bom,/api/manufacturing/boms,remote_available,print_export_local,False,,,none,50,,False,True,manufacturing.bom,"manufacturing.bom.view,manufacturing.bom.create,manufacturing.bom.update,manufacturing.bom.delete,manufacturing.bom.print,manufacturing.bom.export,manufacturing.bom.approve,manufacturing.bom.cancel",document_shell,"Not queued by default; either local-only, print/export local, or requires online server-side consistency."
document.production_order,document,production_order,/api/manufacturing/production-orders,remote_available,print_export_local,False,,,none,50,,False,True,manufacturing.production_orders,"manufacturing.production_orders.view,manufacturing.production_orders.create,manufacturing.production_orders.update,manufacturing.production_orders.print,manufacturing.production_orders.export,manufacturing.production_orders.approve,manufacturing.production_orders.cancel",document_shell,"Not queued by default; either local-only, print/export local, or requires online server-side consistency."
document.user,document,user,/api/users,remote_available,block_when_offline,False,,,none,50,,False,True,users,"users.view,users.create,users.update,users.delete",document_shell,"Not queued by default; either local-only, print/export local, or requires online server-side consistency."
document.settings_section,document,settings_section,/api/settings,remote_available,print_export_local,False,,,none,50,,False,True,settings,"settings.view,settings.update,settings.export",document_shell,"Not queued by default; either local-only, print/export local, or requires online server-side consistency."
document.reports,document,reports,/api/reports,remote_available,print_export_local,False,,,none,50,,False,True,reports,"reports.view,reports.print,reports.export",document_shell,"Not queued by default; either local-only, print/export local, or requires online server-side consistency."
document.pos,document,pos,/api/invoices,remote_available,print_export_local,False,,,none,50,,True,True,pos,"pos.view,pos.checkout,pos.print,pos.void",document_shell,"Not queued by default; either local-only, print/export local, or requires online server-side consistency."
document.restaurant,document,restaurant,/api/restaurant,remote_available,print_export_local,False,,,none,50,,True,True,restaurant,"restaurant.view,restaurant.order,restaurant.order.update,restaurant.print,restaurant.cancel",document_shell,"Not queued by default; either local-only, print/export local, or requires online server-side consistency."
document.cafe,document,cafe,/api/restaurant,remote_available,print_export_local,False,,,none,50,,True,True,cafe,"cafe.view,cafe.order,cafe.payment,cafe.print,cafe.report,restaurant.cancel",document_shell,"Not queued by default; either local-only, print/export local, or requires online server-side consistency."
report.income_statement,report,reports,/api/reports/income_statement,remote_available,read_only_when_offline,False,GET,,none,90,,False,True,reports,,report_shell,Reports are never queued as writes.  Print/export can use the last loaded result; refresh requires online access.
report.balance_sheet,report,reports,/api/reports/balance_sheet,remote_available,read_only_when_offline,False,GET,,none,90,,False,True,reports,,report_shell,Reports are never queued as writes.  Print/export can use the last loaded result; refresh requires online access.
report.warehouse_valuation,report,reports,/api/reports/warehouse/valuation,mixed,read_only_when_offline,False,GET,,none,90,,False,True,reports,,report_shell,Reports are never queued as writes.  Print/export can use the last loaded result; refresh requires online access.
report.warehouse_balances,report,reports,/api/reports/warehouse/balances,mixed,read_only_when_offline,False,GET,,none,90,,False,True,reports,,report_shell,Reports are never queued as writes.  Print/export can use the last loaded result; refresh requires online access.
report.warehouse_movements,report,reports,/api/reports/warehouse/movements,mixed,read_only_when_offline,False,GET,,none,90,,False,True,reports,,report_shell,Reports are never queued as writes.  Print/export can use the last loaded result; refresh requires online access.
report.warehouse_transfers,report,reports,/api/reports/warehouse/transfers,mixed,read_only_when_offline,False,GET,,none,90,,False,True,reports,,report_shell,Reports are never queued as writes.  Print/export can use the last loaded result; refresh requires online access.
report.cash_bank_summary,report,reports,/api/reports/cash-bank/summary,mixed,read_only_when_offline,False,GET,,none,90,,False,True,reports,,report_shell,Reports are never queued as writes.  Print/export can use the last loaded result; refresh requires online access.
report.cash_movements,report,reports,/api/reports/cash-bank/movements,mixed,read_only_when_offline,False,GET,,none,90,,False,True,reports,,report_shell,Reports are never queued as writes.  Print/export can use the last loaded result; refresh requires online access.
report.bank_movements,report,reports,/api/reports/cash-bank/movements,mixed,read_only_when_offline,False,GET,,none,90,,False,True,reports,,report_shell,Reports are never queued as writes.  Print/export can use the last loaded result; refresh requires online access.
report.pos_shifts,report,reports,/api/reports/pos-shifts,mixed,read_only_when_offline,False,GET,,none,90,,False,True,reports,,report_shell,Reports are never queued as writes.  Print/export can use the last loaded result; refresh requires online access.
report.trial_balance,report,reports,/api/reports/trial_balance,remote_available,read_only_when_offline,False,GET,,none,90,,False,True,reports,,report_shell,Reports are never queued as writes.  Print/export can use the last loaded result; refresh requires online access.
report.customer_statement,report,reports,/api/reports/customers/<id>/statement,remote_available,read_only_when_offline,False,GET,,none,90,,False,True,reports,,report_shell,Reports are never queued as writes.  Print/export can use the last loaded result; refresh requires online access.
report.supplier_statement,report,reports,/api/reports/suppliers/<id>/statement,remote_available,read_only_when_offline,False,GET,,none,90,,False,True,reports,,report_shell,Reports are never queued as writes.  Print/export can use the last loaded result; refresh requires online access.
report.customer_balances,report,reports,/api/reports/customers/balances,remote_available,read_only_when_offline,False,GET,,none,90,,False,True,reports,,report_shell,Reports are never queued as writes.  Print/export can use the last loaded result; refresh requires online access.
report.supplier_balances,report,reports,/api/reports/suppliers/balances,remote_available,read_only_when_offline,False,GET,,none,90,,False,True,reports,,report_shell,Reports are never queued as writes.  Print/export can use the last loaded result; refresh requires online access.
report.customer_aging,report,reports,/api/reports/customers/aging,remote_available,read_only_when_offline,False,GET,,none,90,,False,True,reports,,report_shell,Reports are never queued as writes.  Print/export can use the last loaded result; refresh requires online access.
report.supplier_aging,report,reports,/api/reports/suppliers/aging,remote_available,read_only_when_offline,False,GET,,none,90,,False,True,reports,,report_shell,Reports are never queued as writes.  Print/export can use the last loaded result; refresh requires online access.
report.ledger_reconciliation,report,reports,/api/inventory-ledger/reconciliation,mixed,read_only_when_offline,False,GET,,none,90,,False,True,reports,,report_shell,Reports are never queued as writes.  Print/export can use the last loaded result; refresh requires online access.
report.ledger_dual_read,report,reports,/api/inventory-ledger/dual-read,mixed,read_only_when_offline,False,GET,,none,90,,False,True,reports,,report_shell,Reports are never queued as writes.  Print/export can use the last loaded result; refresh requires online access.
report.ledger_readiness,report,reports,/api/inventory-ledger/readiness,mixed,read_only_when_offline,False,GET,,none,90,,False,True,reports,,report_shell,Reports are never queued as writes.  Print/export can use the last loaded result; refresh requires online access.
report.offline_queue,report,reports,local://offline-queue,local_only,read_only_when_offline,False,GET,,none,90,,False,True,reports,,report_shell,Reports are never queued as writes.  Print/export can use the last loaded result; refresh requires online access.
report.unit_audit,report,reports,/api/reports/unit-audit,mixed,read_only_when_offline,False,GET,,none,90,,False,True,reports,,report_shell,Reports are never queued as writes.  Print/export can use the last loaded result; refresh requires online access.
report.item_movement,report,reports,/api/reports/item-movement,mixed,read_only_when_offline,False,GET,,none,90,,False,True,reports,,report_shell,Reports are never queued as writes.  Print/export can use the last loaded result; refresh requires online access.
report.invoice_profit,report,reports,/api/reports/invoice-profit,mixed,read_only_when_offline,False,GET,,none,90,,False,True,reports,,report_shell,Reports are never queued as writes.  Print/export can use the last loaded result; refresh requires online access.
report.net_profit,report,reports,/api/reports/net-profit,mixed,read_only_when_offline,False,GET,,none,90,,False,True,reports,,report_shell,Reports are never queued as writes.  Print/export can use the last loaded result; refresh requires online access.
report.manufacturing_orders,report,reports,/api/reports/manufacturing/orders,mixed,read_only_when_offline,False,GET,,none,90,,False,True,reports,,report_shell,Reports are never queued as writes.  Print/export can use the last loaded result; refresh requires online access.
report.product_cost,report,reports,/api/reports/product-cost,mixed,read_only_when_offline,False,GET,,none,90,,False,True,reports,,report_shell,Reports are never queued as writes.  Print/export can use the last loaded result; refresh requires online access.
report.general_ledger,report,reports,/api/reports/accounting/ledger,remote_available,read_only_when_offline,False,GET,,none,90,,False,True,reports,,report_shell,Reports are never queued as writes.  Print/export can use the last loaded result; refresh requires online access.
report.full_trial_balance,report,reports,/api/reports/accounting/trial_balance,remote_available,read_only_when_offline,False,GET,,none,90,,False,True,reports,,report_shell,Reports are never queued as writes.  Print/export can use the last loaded result; refresh requires online access.
report.slow_items,report,reports,/api/reports/smart-items/slow,mixed,read_only_when_offline,False,GET,,none,90,,False,True,reports,,report_shell,Reports are never queued as writes.  Print/export can use the last loaded result; refresh requires online access.
report.top_items,report,reports,/api/reports/smart-items/top,mixed,read_only_when_offline,False,GET,,none,90,,False,True,reports,,report_shell,Reports are never queued as writes.  Print/export can use the last loaded result; refresh requires online access.
report.low_items,report,reports,/api/reports/smart-items/low,mixed,read_only_when_offline,False,GET,,none,90,,False,True,reports,,report_shell,Reports are never queued as writes.  Print/export can use the last loaded result; refresh requires online access.
report.reorder_items,report,reports,/api/reports/smart-items/reorder,mixed,read_only_when_offline,False,GET,,none,90,,False,True,reports,,report_shell,Reports are never queued as writes.  Print/export can use the last loaded result; refresh requires online access.
report.report_audit,report,reports,/api/reports/consistency-audit,mixed,read_only_when_offline,False,GET,,none,90,,False,True,reports,,report_shell,Reports are never queued as writes.  Print/export can use the last loaded result; refresh requires online access.
operational.pos.checkout,operational,pos,/api/invoices,remote_available,queue_when_offline,True,POST,/api/invoices,idempotent_create,10,pos_ticket_or_payload_hash,True,True,pos,"pos.use,pos.receipt.print",operational_shell,POS checkout queues as a sales invoice only.  Shift open/close and cashbox operations remain online-only.
operational.pos.shift_cashbox,operational,pos,/api/pos_shifts,remote_available,block_when_offline,False,,,none,50,,True,True,pos,"pos.shift.open,pos.shift.close",operational_shell,Opening/closing shifts and cashbox state are not safe to replay blindly.
operational.restaurant.session_order_payment,operational,restaurant,/api/restaurant,remote_available,block_when_offline,False,,,none,50,,True,True,restaurant,"restaurant.restaurant_add_line,restaurant.restaurant_adjust_bill,restaurant.restaurant_checkout,restaurant.restaurant_open_session,restaurant.restaurant_print_kitchen_ticket,restaurant.restaurant_print_receipt,restaurant.restaurant_record_payment,restaurant.restaurant_send_kitchen,restaurant.restaurant_update_kitchen_status,restaurant.restaurant_use",operational_shell,"Restaurant sessions, kitchen state, table moves, and split bills require online branch/server consistency."
audit.audit_log,audit,audit_log,/api/audit_log,remote_available,queue_when_offline,True,POST,/api/audit_log,idempotent_create,90,event_hash,False,False,security.audit,audit.view,audit_trail,Client-side audit events should not disappear when the server is temporarily unreachable.
