key,category,description,status,detail
qss_Phase355: branded transaction footer,qss,QSS contains Phase355: branded transaction footer and bottom commands,pass,Phase355: branded transaction footer and bottom commands
qss_brand_table_surface,qss,QSS contains brand_table_surface,pass,brand_table_surface
qss_brand_entry_table,qss,QSS contains brand_entry_table,pass,brand_entry_table
qss_table_current_bg,qss,QSS contains table_current_bg,pass,table_current_bg
qss_transaction_footer_primary_bg,qss,QSS contains transaction_footer_primary_bg,pass,transaction_footer_primary_bg
object_table_property,runtime,Custom/Smart tables opt in to branded table QSS.,pass,brand_table_surface
object_entry_table_property,runtime,Editable transaction grids expose a stronger current-cell profile.,pass,brand_entry_table
object_transaction_grid_name,runtime,Transaction document line grid keeps a stable object name.,pass,TransactionLineGrid
object_footer_panel,footer,Invoice-like documents expose the unified footer panel.,pass,TransactionFooterPanel
object_summary_frame,footer,Totals frame is horizontally branded.,pass,TransactionHorizontalSummaryFrame
object_payment_frame,footer,Payment frame uses same summary visual system.,pass,TransactionHorizontalPaymentFrame
object_bottom_actions,footer,Bottom command buttons are a unified action surface.,pass,TransactionBottomActionBar
object_action_role,footer,Buttons carry semantic action roles for QSS.,pass,transaction_action
runtime_custom_table_view_brand_table_surface,runtime,alrajhi_client/views/custom_table_view.py uses brand_table_surface,pass,brand_table_surface
runtime_custom_table_view_brand_table_density,runtime,alrajhi_client/views/custom_table_view.py uses brand_table_density,pass,brand_table_density
runtime_custom_table_view_StandardTableKeyboardMixin,runtime,alrajhi_client/views/custom_table_view.py uses StandardTableKeyboardMixin,pass,StandardTableKeyboardMixin
runtime_custom_table_view_Phase389,runtime,alrajhi_client/views/custom_table_view.py uses Phase389,pass,Phase389
runtime_table_keyboard_policy_brand_entry_table,runtime,alrajhi_client/ui/table_keyboard_policy.py uses brand_entry_table,pass,brand_entry_table
runtime_table_keyboard_policy_current_cell_highlight,runtime,alrajhi_client/ui/table_keyboard_policy.py uses current_cell_highlight,pass,current_cell_highlight
runtime_table_keyboard_policy_standard_initial_entry_focus,runtime,alrajhi_client/ui/table_keyboard_policy.py uses standard_initial_entry_focus,pass,standard_initial_entry_focus
runtime_transaction_document_tab_TransactionFooterPanel,runtime,alrajhi_client/features/transactions/transaction_document_tab.py uses TransactionFooterPanel,pass,TransactionFooterPanel
runtime_transaction_document_tab_TransactionFooterNotes,runtime,alrajhi_client/features/transactions/transaction_document_tab.py uses TransactionFooterNotes,pass,TransactionFooterNotes
runtime_transaction_document_tab_transaction_footer_role,runtime,alrajhi_client/features/transactions/transaction_document_tab.py uses transaction_footer_role,pass,transaction_footer_role
runtime_transaction_totals_panel_TransactionHorizontalSummary,runtime,alrajhi_client/features/transactions/components/transaction_totals_panel.py uses TransactionHorizontalSummaryFrame,pass,TransactionHorizontalSummaryFrame
runtime_transaction_totals_panel_TransactionHorizontalPayment,runtime,alrajhi_client/features/transactions/components/transaction_totals_panel.py uses TransactionHorizontalPaymentFrame,pass,TransactionHorizontalPaymentFrame
runtime_transaction_totals_panel_TransactionSummaryCaption,runtime,alrajhi_client/features/transactions/components/transaction_totals_panel.py uses TransactionSummaryCaption,pass,TransactionSummaryCaption
runtime_transaction_totals_panel_TransactionSummaryValue,runtime,alrajhi_client/features/transactions/components/transaction_totals_panel.py uses TransactionSummaryValue,pass,TransactionSummaryValue
runtime_transaction_totals_panel_transaction_footer_role,runtime,alrajhi_client/features/transactions/components/transaction_totals_panel.py uses transaction_footer_role,pass,transaction_footer_role
runtime_transaction_bottom_actions_TransactionBottomActionBar,runtime,alrajhi_client/features/transactions/components/transaction_bottom_actions.py uses TransactionBottomActionBar,pass,TransactionBottomActionBar
runtime_transaction_bottom_actions_transaction_action,runtime,alrajhi_client/features/transactions/components/transaction_bottom_actions.py uses transaction_action,pass,transaction_action
runtime_transaction_bottom_actions_transaction_footer_role,runtime,alrajhi_client/features/transactions/components/transaction_bottom_actions.py uses transaction_footer_role,pass,transaction_footer_role
runtime_transaction_bottom_actions_setMinimumWidth(126),runtime,alrajhi_client/features/transactions/components/transaction_bottom_actions.py uses setMinimumWidth(126),pass,setMinimumWidth(126)
