key,category,description,status,detail,phase
forbidden_setParent(self.password_edit),no_overlay_implementation,Login password toggle avoids overlay/absolute geometry marker: setParent(self.password_edit),pass,setParent(self.password_edit),431
forbidden_move(self.password_edit,no_overlay_implementation,Login password toggle avoids overlay/absolute geometry marker: move(self.password_edit,pass,move(self.password_edit,431
forbidden_password_edit.addAction,no_overlay_implementation,Login password toggle avoids overlay/absolute geometry marker: password_edit.addAction,pass,password_edit.addAction,431
forbidden_QLineEdit#loginPasswordEdit { padding-right:,no_overlay_implementation,Login password toggle avoids overlay/absolute geometry marker: QLineEdit#loginPasswordEdit { padding-right: 42px,pass,QLineEdit#loginPasswordEdit { padding-right: 42px,431
forbidden_QLineEdit#loginPasswordEdit { padding-left: ,no_overlay_implementation,Login password toggle avoids overlay/absolute geometry marker: QLineEdit#loginPasswordEdit { padding-left: 42px,pass,QLineEdit#loginPasswordEdit { padding-left: 42px,431
forbidden_position: absolute,no_overlay_implementation,Login password toggle avoids overlay/absolute geometry marker: position: absolute,pass,position: absolute,431
forbidden_loginPasswordSafeSpacer,no_overlay_implementation,Login password toggle avoids overlay/absolute geometry marker: loginPasswordSafeSpacer,pass,loginPasswordSafeSpacer,431
forbidden_loginPasswordToggleButton,no_overlay_implementation,Login password toggle avoids overlay/absolute geometry marker: loginPasswordToggleButton,pass,loginPasswordToggleButton,431
password_peer_layout_order,layout_order,Password field and visibility button are configured before insertion as fixed/expanding peers,pass,"[6121, 6379, 6686, 6904, 7302, 7354, 7422, 7523]",431
qss_runtime_light,qss_runtime,Generated light QSS contains safe password toggle selectors,pass,83722,431
qss_runtime_dark,qss_runtime,Generated dark QSS contains safe password toggle selectors,pass,84404,431
