key,source_kind,title_key,branch_policy,enforcement,branch_source,permission_view,api_resource,network_mode,i18n_scope,settings_scope,audit_scope,server_blueprint,requires_server_filter,requires_payload_branch,requires_allowed_branch_check,local_only,server_status,notes
list:purchase_returns,list,purchase_returns,required,required_scope,payload.branch_id,purchase_returns.view,/api/returns/purchase,remote_required,transactions.purchase_return,transactions.purchase_return.list,transactions.purchase_return.list,returns,True,False,True,False,required,
list:materials,list,items_inventory,optional,optional_scope,payload.branch_id,items.view,/api/items,remote_available,materials.document,materials.list,materials.list,items,True,False,False,False,required,
list:categories,list,categories,none,none,none,categories.view,/api/categories,mixed,categories.document,categories.list,categories.list,categories,False,False,False,False,not_applicable,
list:customers,list,customers,optional,optional_scope,payload.branch_id,customers.view,/api/customers,remote_available,parties.customer,parties.customers.list,parties.customer.list,customers,True,False,False,False,required,
list:suppliers,list,suppliers,optional,optional_scope,payload.branch_id,suppliers.view,/api/suppliers,remote_available,parties.supplier,parties.suppliers.list,parties.supplier.list,suppliers,True,False,False,False,required,
list:vouchers,list,vouchers_title,optional,optional_scope,payload.branch_id,vouchers.view,/api/vouchers,remote_available,finance.voucher,finance.vouchers.list,finance.voucher.list,vouchers,True,False,False,False,required,
list:cashboxes,list,cashboxes,optional,optional_scope,payload.branch_id,cashboxes.view,/api/cashboxes,remote_available,finance.cashbox,finance.cashboxes.list,finance.cashbox.list,cashboxes,True,False,False,False,required,
list:warehouses,list,warehouses,user_branch_access,user_branch_access,rbac.user_branch_access,warehouses.view,/api/warehouses,remote_available,inventory.warehouse,inventory.warehouses.list,inventory.warehouse.list,warehouses,True,False,True,False,required,
list:warehouse_transfers,list,warehouse_transfers,user_branch_access,user_branch_access,rbac.user_branch_access,warehouse_transfers.view,/api/warehouse-transfers,remote_available,inventory.transfer,inventory.transfers.list,inventory.transfer.list,warehouses,True,False,True,False,required,
list:branches,list,branches,user_branch_access,user_branch_access,rbac.user_branch_access,branches.view,/api/branches,remote_available,branches.document,branches.list,branches.list,branches,True,False,True,False,required,
report:income_statement,report,report_income_statement,optional,optional_scope,report.filter.branch_id,reports.view,/api/reports/income_statement,remote_available,reports.shell,reports,reports,reports,True,False,False,False,required,
report:balance_sheet,report,report_balance_sheet,optional,optional_scope,report.filter.branch_id,reports.view,/api/reports/balance_sheet,remote_available,reports.shell,reports,reports,reports,True,False,False,False,required,
report:warehouse_valuation,report,report_warehouse_valuation,optional,optional_scope,report.filter.branch_id,reports.view,/api/reports/warehouse/valuation,mixed,reports.shell,reports,reports,reports,True,False,False,False,required,Composed from warehouse balances until server endpoint parity is completed.
report:warehouse_balances,report,report_warehouse_balances,optional,optional_scope,report.filter.branch_id,reports.view,/api/reports/warehouse/balances,mixed,reports.shell,reports,reports,reports,True,False,False,False,required,
report:warehouse_movements,report,report_warehouse_movements,optional,optional_scope,report.filter.branch_id,reports.view,/api/reports/warehouse/movements,mixed,reports.shell,reports,reports,reports,True,False,False,False,required,
report:warehouse_transfers,report,report_warehouse_transfers,optional,optional_scope,report.filter.branch_id,reports.view,/api/reports/warehouse/transfers,mixed,reports.shell,reports,reports,reports,True,False,False,False,required,
report:cash_bank_summary,report,report_cash_bank_summary,optional,optional_scope,report.filter.branch_id,reports.view,/api/reports/cash-bank/summary,mixed,reports.shell,reports,reports,reports,True,False,False,False,required,
report:cash_movements,report,report_cash_movements,optional,optional_scope,report.filter.branch_id,reports.view,/api/reports/cash-bank/movements,mixed,reports.shell,reports,reports,reports,True,False,False,False,required,
report:bank_movements,report,report_bank_movements,optional,optional_scope,report.filter.branch_id,reports.view,/api/reports/cash-bank/movements,mixed,reports.shell,reports,reports,reports,True,False,False,False,required,
report:pos_shifts,report,report_pos_shifts,optional,optional_scope,report.filter.branch_id,reports.view,/api/reports/pos-shifts,mixed,reports.shell,reports,reports,reports,True,False,False,False,required,
report:trial_balance,report,report_trial_balance,optional,optional_scope,report.filter.branch_id,reports.view,/api/reports/trial_balance,remote_available,reports.shell,reports,reports,reports,True,False,False,False,required,
report:customer_statement,report,report_customer_statement,optional,optional_scope,report.filter.branch_id,reports.view,/api/reports/customers/<id>/statement,remote_available,reports.shell,reports,reports,reports,True,False,False,False,required,
report:supplier_statement,report,report_supplier_statement,optional,optional_scope,report.filter.branch_id,reports.view,/api/reports/suppliers/<id>/statement,remote_available,reports.shell,reports,reports,reports,True,False,False,False,required,
report:customer_balances,report,report_customer_balances,optional,optional_scope,report.filter.branch_id,reports.view,/api/reports/customers/balances,remote_available,reports.shell,reports,reports,reports,True,False,False,False,required,
report:supplier_balances,report,report_supplier_balances,optional,optional_scope,report.filter.branch_id,reports.view,/api/reports/suppliers/balances,remote_available,reports.shell,reports,reports,reports,True,False,False,False,required,
report:customer_aging,report,report_customer_aging,optional,optional_scope,report.filter.branch_id,reports.view,/api/reports/customers/aging,remote_available,reports.shell,reports,reports,reports,True,False,False,False,required,
report:supplier_aging,report,report_supplier_aging,optional,optional_scope,report.filter.branch_id,reports.view,/api/reports/suppliers/aging,remote_available,reports.shell,reports,reports,reports,True,False,False,False,required,
report:ledger_reconciliation,report,report_ledger_reconciliation,optional,optional_scope,report.filter.branch_id,reports.view,/api/inventory-ledger/reconciliation,mixed,reports.shell,reports,reports,reports,True,False,False,False,required,
report:ledger_dual_read,report,report_ledger_dual_read,optional,optional_scope,report.filter.branch_id,reports.view,/api/inventory-ledger/dual-read,mixed,reports.shell,reports,reports,reports,True,False,False,False,required,
report:ledger_readiness,report,report_ledger_readiness,optional,optional_scope,report.filter.branch_id,reports.view,/api/inventory-ledger/readiness,mixed,reports.shell,reports,reports,reports,True,False,False,False,required,
report:offline_queue,report,report_offline_queue,none,none,none,reports.view,local://offline-queue,local_only,reports.shell,reports,reports,reports,False,False,False,True,not_applicable,Local client diagnostics by design.
report:unit_audit,report,report_unit_audit,optional,optional_scope,report.filter.branch_id,reports.view,/api/reports/unit-audit,mixed,reports.shell,reports,reports,reports,True,False,False,False,required,
report:item_movement,report,report_item_movement,optional,optional_scope,report.filter.branch_id,reports.view,/api/reports/item-movement,mixed,reports.shell,reports,reports,reports,True,False,False,False,required,
report:invoice_profit,report,report_invoice_profit,optional,optional_scope,report.filter.branch_id,reports.view,/api/reports/invoice-profit,mixed,reports.shell,reports,reports,reports,True,False,False,False,required,
report:net_profit,report,report_net_profit,optional,optional_scope,report.filter.branch_id,reports.view,/api/reports/net-profit,mixed,reports.shell,reports,reports,reports,True,False,False,False,required,
report:manufacturing_orders,report,report_manufacturing_orders,optional,optional_scope,report.filter.branch_id,reports.view,/api/reports/manufacturing/orders,mixed,reports.shell,reports,reports,reports,True,False,False,False,required,
report:product_cost,report,report_product_cost,optional,optional_scope,report.filter.branch_id,reports.view,/api/reports/product-cost,mixed,reports.shell,reports,reports,reports,True,False,False,False,required,
report:general_ledger,report,report_general_ledger,optional,optional_scope,report.filter.branch_id,reports.view,/api/reports/accounting/ledger,remote_available,reports.shell,reports,reports,reports,True,False,False,False,required,
report:full_trial_balance,report,report_full_trial_balance,optional,optional_scope,report.filter.branch_id,reports.view,/api/reports/accounting/trial_balance,remote_available,reports.shell,reports,reports,reports,True,False,False,False,required,
report:slow_items,report,report_slow_items,optional,optional_scope,report.filter.branch_id,reports.view,/api/reports/smart-items/slow,mixed,reports.shell,reports,reports,reports,True,False,False,False,required,
report:top_items,report,report_top_items,optional,optional_scope,report.filter.branch_id,reports.view,/api/reports/smart-items/top,mixed,reports.shell,reports,reports,reports,True,False,False,False,required,
report:low_items,report,report_low_items,optional,optional_scope,report.filter.branch_id,reports.view,/api/reports/smart-items/low,mixed,reports.shell,reports,reports,reports,True,False,False,False,required,
report:reorder_items,report,report_reorder_items,optional,optional_scope,report.filter.branch_id,reports.view,/api/reports/smart-items/reorder,mixed,reports.shell,reports,reports,reports,True,False,False,False,required,
report:report_audit,report,report_consistency_audit,optional,optional_scope,report.filter.branch_id,reports.view,/api/reports/consistency-audit,mixed,reports.shell,reports,reports,reports,True,False,False,False,required,
operational:pos,operational,pos,required,required_scope,cashbox.branch_id+warehouse.branch_id,pos.view,/api/invoices,remote_available,pos.shell,pos,pos,invoices,True,True,True,False,required,"Fast sale operational shell; checkout creates a sales invoice but the UI is governed by POS operations, not document editing actions."
operational:restaurant,operational,restaurant,required,required_scope,cashbox.branch_id+warehouse.branch_id,restaurant.view,/api/restaurant,remote_available,restaurant.shell,restaurant,restaurant,restaurant,True,True,True,False,required,"Restaurant operational shell; table sessions, kitchen tickets and split payments are operation-driven and use restaurant API routes."
